Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclMethod,CountLineCodeExe,MaxNesting
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.CombineGroupedValues.OutputT",0,0,0,,,,,0,,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.CombineGroupedValues.expand",,,,5,0.00,0,,,2,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.CombineGroupedValues.getOriginalCombine",,,,3,0.00,0,,,1,0
Protected Constructor,"org.apache.beam.runners.dataflow.DataflowRunner.DataflowRunner",,,,10,0.00,0,,,7,0
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate",1,1,19,23,0.26,6,,1,16,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate.T",0,0,0,,,,,0,,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate.expand",,,,19,0.11,2,,,15,0
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate.expand.(Anon_4)",1,1,4,5,0.00,0,,1,4,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate.expand.(Anon_4).processElement",,,,4,0.00,0,,,3,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.Deduplicate.expand.(lambda_expr_1)",,,,2,0.00,0,,,2,0
Static Abstract Class,"org.apache.beam.runners.dataflow.DataflowRunner.EnvironmentInfo",1,1,5,11,0.00,0,,4,2,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunner.EnvironmentInfo.capabilities",,,,1,0.00,0,,,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunner.EnvironmentInfo.containerUrl",,,,1,0.00,0,,,0,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.EnvironmentInfo.create",,,,5,0.00,0,,,2,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunner.EnvironmentInfo.environmentId",,,,1,0.00,0,,,0,0
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunner.IdentityMessageFn",1,1,4,6,0.00,0,,1,1,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.IdentityMessageFn.apply",,,,4,0.00,0,,,1,0
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunner.ImpulseTranslator",3,3,23,25,0.00,0,,1,16,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ImpulseTranslator.translate",,,,23,0.00,0,,,16,2
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunner.MultiOutputExpandableTransformTranslator",2,2,10,13,0.00,0,,1,5,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.MultiOutputExpandableTransformTranslator.translate",,,,10,0.00,0,,,5,1
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory",1,1,10,25,0.00,0,,2,6,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory.InputT",0,0,0,,,,,0,,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory.K",0,0,0,,,,,0,,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory.OutputT",0,0,0,,,,,0,,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory.getReplacementTransform",,,,14,0.00,0,,,5,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.PrimitiveCombineGroupedValuesOverrideFactory.mapOutputs",,,,5,0.00,0,,,1,0
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory",1,1,9,24,0.00,0,,2,8,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory.InputT",0,0,0,,,,,0,,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory.OutputT",0,0,0,,,,,0,,0
Private Constructor,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory.ReflectiveOneToOneOverrideFactory",,,,6,0.00,0,,,2,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory.TransformT",0,0,0,,,,,0,,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveOneToOneOverrideFactory.getReplacementTransform",,,,11,0.00,0,,,6,0
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory",1,1,18,80,0.15,12,,4,41,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.InputT",0,0,0,,,,,0,,0
Private Constructor,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.ReflectiveViewOverrideFactory",,,,6,0.00,0,,,2,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.ViewT",0,0,0,,,,,0,,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.findCreatePCollectionView",,,,45,0.02,1,,,32,0
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.findCreatePCollectionView.(Anon_1)",2,2,9,28,0.04,1,,3,22,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.findCreatePCollectionView.(Anon_1).enterCompositeTransform",,,,7,0.00,0,,,5,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.findCreatePCollectionView.(Anon_1).leaveCompositeTransform",,,,6,0.00,0,,,4,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.findCreatePCollectionView.(Anon_1).visitPrimitiveTransform",,,,13,0.00,0,,,11,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.getReplacementTransform",,,,16,0.00,0,,,6,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.ReflectiveViewOverrideFactory.mapOutputs",,,,5,1.20,6,,,1,0
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunner.SingleOutputExpandableTransformTranslator",1,1,7,10,0.00,0,,1,3,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.SingleOutputExpandableTransformTranslator.translate",,,,7,0.00,0,,,3,0
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedRead",1,1,5,12,0.33,4,,2,4,0
Public Constructor,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedRead.StreamingBoundedRead",,,,3,0.00,0,,,1,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedRead.T",0,0,0,,,,,0,,0
Public Final Method,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedRead.expand",,,,6,0.00,0,,,3,0
Private Static Generic Class,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedReadOverrideFactory",1,1,6,14,0.00,0,,2,3,0
Generic Parameter,"org.apache.beam.runners.dataflow.DataflowRunner.StreamingBoundedReadOverrideFactory.T",0,0,0,,,,,0,,0
