Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclClassMethod,CountLineCodeExe,MaxNesting
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.addOptionalKafkaRead",,,,6,0.00,0,,,3,1
Method,"org.apache.beam.runners.dataflow.DataflowRunner.addPCollectionRequiringIndexedFormat",,,,3,0.00,0,,,1,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.addStreamingOverrides",,,,41,0.00,0,,,37,1
Protected Method,"org.apache.beam.runners.dataflow.DataflowRunner.applySdkEnvironmentOverrides",,,,51,0.00,0,,,39,4
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.configureSdkHarnessContainerImages",,,,24,0.00,0,,,18,1
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.configureSdkHarnessContainerImages.(lambda_expr_1)",,,,14,0.00,0,,,12,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.doesPCollectionPreserveKeys",,,,3,0.00,0,,,1,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.doesPCollectionRequireAutoSharding",,,,3,0.00,0,,,1,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.doesPCollectionRequireIndexedFormat",,,,3,0.00,0,,,1,0
Public Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.fromOptions",,,,131,0.00,0,,,107,2
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.fromOptions.(lambda_expr_1)",,,,13,0.00,0,,,9,0
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getAllEnvironmentInfo",,,,8,0.00,0,,,6,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.getAllEnvironmentInfo.(lambda_expr_1)",,,,1,0.00,0,,,1,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.getAllEnvironmentInfo.(lambda_expr_2)",,,,1,0.00,0,,,1,0
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.getAllEnvironmentInfo.(lambda_expr_3)",,,,1,0.00,0,,,1,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getContainerImageForJob",,,,11,0.00,0,,,7,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.getDefaultArtifacts",,,,14,0.00,0,,,9,1
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getDefaultContainerImageNameForJob",,,,10,0.00,0,,,7,1
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getDefaultContainerImageUrl",,,,8,0.00,0,,,6,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getDefaultContainerVersion",,,,11,0.00,0,,,7,2
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getEnvironmentInfoFromEnvironmentId",,,,19,0.00,0,,,12,1
Private Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.getEnvironmentVersion",,,,15,0.00,0,,,10,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.getFilePayload",,,,9,0.00,0,,,5,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.getJobIdFromName",,,,24,0.00,0,,,18,4
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.getOverrides",,,,10,0.00,0,,,7,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.getStagedName",,,,24,0.00,0,,,17,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.getTranslator",,,,3,0.00,0,,,1,0
Public Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.hasExperiment",,,,5,0.00,0,,,2,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.isMultiLanguagePipeline",,,,24,0.00,0,,,10,0
Class,"org.apache.beam.runners.dataflow.DataflowRunner.isMultiLanguagePipeline.IsMultiLanguageVisitor",1,2,5,18,0.00,0,,0,7,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.isMultiLanguagePipeline.IsMultiLanguageVisitor.enterCompositeTransform",,,,5,0.00,0,,,2,0
